symbol,value,unit,variant_id,product_id
L1,40,mm,188,4
L2,33,mm,188,4
z1,118,mm,188,4
z2,11,mm,188,4
d,50,mm,189,4
Gewinde,Rp,,189,4
Zoll,1 ½,inch,189,4
SDR,11,,189,4
DN,40,mm,189,4
D,126,mm,189,4
L,158,mm,189,4
L1,44,mm,189,4
L2,34,mm,189,4
z1,124,mm,189,4
z2,13,mm,189,4
d,63,mm,190,4
Gewinde,Rp,,190,4
Zoll,2,inch,190,4
SDR,11,,190,4
DN,50,mm,190,4
D,139,mm,190,4
L,175,mm,190,4
L1,48,mm,190,4
L2,39,mm,190,4
z1,136,mm,190,4
z2,14,mm,190,4
D,75,mm,116,5
SDR,11,,116,5
PN,16,bar,116,5
L1,36,mm,116,5
z,121,mm,116,5
D,90,mm,117,5
SDR,11,,117,5
PN,16,bar,117,5
L1,40,mm,117,5
z,125,mm,117,5
D,90,mm,118,5
SDR,11,,118,5
PN,16,bar,118,5
L1,44,mm,118,5
z,133,mm,118,5
D,110,mm,119,5
SDR,11,,119,5
PN,16,bar,119,5
L1,48,mm,119,5
z,141,mm,119,5
D,125,mm,120,5
SDR,11,,120,5
PN,16,bar,120,5
L1,55,mm,120,5
z,155,mm,120,5
D,140,mm,121,5
SDR,11,,121,5
PN,16,bar,121,5
L1,62,mm,121,5
z,169,mm,121,5
D,160,mm,122,5
SDR,11,,122,5
PN,16,bar,122,5
L1,72,mm,122,5
z,189,mm,122,5
D,200,mm,123,5
SDR,11,,123,5
PN,16,bar,123,5
L1,90,mm,123,5
z,213,mm,123,5
d,40,mm,75,6
d1,32,mm,75,6
SDR,11,,75,6
DN,32,,75,6
PN,16,bar,75,6
L,76,mm,75,6
L1,40,mm,75,6
L2,36,mm,75,6
d,50,mm,76,6
d1,32,mm,76,6
SDR,11,,76,6
DN,40,,76,6
PN,16,bar,76,6
L,80,mm,76,6
L1,44,mm,76,6
L2,36,mm,76,6
d,50,mm,77,6
d1,40,mm,77,6
SDR,11,,77,6
DN,40,,77,6
PN,16,bar,77,6
L,84,mm,77,6
L1,44,mm,77,6
L2,40,mm,77,6
d,63,mm,78,6
d1,32,mm,78,6
SDR,11,,78,6
DN,50,,78,6
PN,16,bar,78,6
L,84,mm,78,6
L1,48,mm,78,6
L2,36,mm,78,6
d,63,mm,79,6
d1,40,mm,79,6
SDR,11,,79,6
DN,50,,79,6
PN,16,bar,79,6
L,88,mm,79,6
L1,48,mm,79,6
L2,40,mm,79,6
d,63,mm,80,6
d1,50,mm,80,6
SDR,11,,80,6
DN,50,,80,6
PN,16,bar,80,6
L,92,mm,80,6
L1,48,mm,80,6
L2,44,mm,80,6
d,75,mm,81,6
d1,32,mm,81,6
SDR,11,,81,6
DN,65,,81,6
PN,16,bar,81,6
L,91,mm,81,6
L1,55,mm,81,6
L2,36,mm,81,6
d,90,mm,82,6
d1,32,mm,82,6
SDR,11,,82,6
DN,80,,82,6
PN,16,bar,82,6
L,98,mm,82,6
L1,62,mm,82,6
L2,36,mm,82,6
d,110,mm,83,6
d1,32,mm,83,6
SDR,11,,83,6
DN,100,,83,6
PN,16,bar,83,6
L,108,mm,83,6
L1,72,mm,83,6
L2,36,mm,83,6
d,d63 - d225,mm,104,7
Zoll,¼,inch,104,7
Gewinde,Rp,,104,7
PN,16,bar,104,7
z,70 + d/2,mm,104,7
h1,85+d/2,mm,104,7
P1,15,mm,104,7
db1,"11,8",mm,104,7
D1,73,mm,104,7
d,d63 - d225,mm,105,7
Zoll,⅜,inch,105,7
Gewinde,Rp,,105,7
PN,16,bar,105,7
z,69 + d/2,mm,105,7
h1,85+d/2,mm,105,7
P1,16,mm,105,7
db1,"17,4",mm,105,7
D1,73,mm,105,7
d,d63 - d225,mm,106,7
Zoll,1,inch,106,7
Gewinde,Rp,,106,7
PN,16,bar,106,7
z,67 + d/2,mm,106,7
h1,86+d/2,mm,106,7
P1,19,mm,106,7
db1,"23,1",mm,106,7
D1,73,mm,106,7
d,32,mm,17,8
D SDR,75,mm,17,8
DN,11,mm,17,8
PN,25,bar,17,8
Gewicht,"0,127",kg,17,8
L,75,mm,17,8
L1,36,mm,17,8
z,20,mm,17,8
d,40,mm,18,8
D SDR,90,mm,18,8
DN,11,mm,18,8
PN,32,bar,18,8
Gewicht,"0,185",kg,18,8
L,82,mm,18,8
L1,40,mm,18,8
z,23,mm,18,8
d,50,mm,19,8
D SDR,90,mm,19,8
DN,11,mm,19,8
PN,40,bar,19,8
Gewicht,"0,242",kg,19,8
L,93,mm,19,8
L1,44,mm,19,8
z,30,mm,19,8
d,63,mm,20,8
D SDR,110,mm,20,8
DN,11,mm,20,8
PN,50,bar,20,8
Gewicht,"0,384",kg,20,8
L,101,mm,20,8
L1,48,mm,20,8
z,34,mm,20,8
d,75,mm,21,8
D SDR,125,mm,21,8
DN,11,mm,21,8
PN,65,bar,21,8
Gewicht,"0,510",kg,21,8
L,114,mm,21,8
L1,55,mm,21,8
z,40,mm,21,8
d,90,mm,22,8
D SDR,140,mm,22,8
DN,11,mm,22,8
PN,80,bar,22,8
Gewicht,"0,960",kg,22,8
L,144,mm,22,8
L1,62,mm,22,8
z,63,mm,22,8
d,110,mm,23,8
D SDR,160,mm,23,8
DN,11,mm,23,8
PN,100,bar,23,8
Gewicht,"1,406",kg,23,8
L,168,mm,23,8
L1,72,mm,23,8
z,77,mm,23,8
d,140,mm,24,8
D SDR,200,mm,24,8
DN,11,mm,24,8
PN,125,bar,24,8
Gewicht,"3,454",kg,24,8
L,190,mm,24,8
L1,84,mm,24,8
z,87,mm,24,8
d,32,mm,151,9
Gewinde,Rp,,151,9
Zoll,¾,inch,151,9
SDR,11,,151,9
DN,25,mm,151,9
PN,16,bar,151,9
Gewicht,"0,201",kg,151,9
D,70,mm,151,9
L,132,mm,151,9
L1,36,mm,151,9
z,118,mm,151,9
d,32,mm,152,9
Gewinde,Rp,,152,9
Zoll,¾,inch,152,9
SDR,11,,152,9
DN,25,mm,152,9
PN,16,bar,152,9
Gewicht,"0,226",kg,152,9
D,70,mm,152,9
L,132,mm,152,9
L1,36,mm,152,9
z,116,mm,152,9
d,32,mm,153,9
Gewinde,Rp,,153,9
Zoll,1,inch,153,9
SDR,11,,153,9
DN,25,mm,153,9
PN,16,bar,153,9
Gewicht,"0,251",kg,153,9
D,70,mm,153,9
L,132,mm,153,9
L1,36,mm,153,9
z,115,mm,153,9
d,40,mm,154,9
Gewinde,Rp,,154,9
Zoll,1 ¼,inch,154,9
SDR,11,,154,9
DN,32,mm,154,9
PN,16,bar,154,9
Gewicht,"0,626",kg,154,9
D,78,mm,154,9
L,157,mm,154,9
L1,40,mm,154,9
z,161,mm,154,9
d,50,mm,155,9
Gewinde,Rp,,155,9
Zoll,1 ½,inch,155,9
SDR,11,,155,9
DN,40,mm,155,9
PN,16,bar,155,9
Gewicht,"0,670",kg,155,9
D,88,mm,155,9
L,150,mm,155,9
L1,44,mm,155,9
z,128,mm,155,9
d,63,mm,156,9
Gewinde,Rp,,156,9
Zoll,2,inch,156,9
SDR,11,,156,9
DN,50,mm,156,9
PN,16,bar,156,9
Gewicht,"1,170",kg,156,9
D,101,mm,156,9
L,164,mm,156,9
L1,48,mm,156,9
z,140,mm,156,9
d,32,mm,1,10
D,75,mm,1,10
DN,25,,1,10
di,26.2,mm,1,10
l,5000,mm,1,10
L1,36,mm,1,10
d,40,mm,2,10
D,90,mm,2,10
DN,32,,2,10
di,32.6,mm,2,10
l,5000,mm,2,10
L1,40,mm,2,10
d,50,mm,3,10
D,90,mm,3,10
DN,40,,3,10
di,40.8,mm,3,10
l,5000,mm,3,10
L1,44,mm,3,10
d,63,mm,4,10
D,110,mm,4,10
DN,50,,4,10
di,51.4,mm,4,10
l,5000,mm,4,10
L1,48,mm,4,10
d,75,mm,5,10
D,125,mm,5,10
DN,65,,5,10
di,61.4,mm,5,10
l,5000,mm,5,10
L1,55,mm,5,10
d,90,mm,6,10
D,160,mm,6,10
DN,80,,6,10
di,73.5,mm,6,10
l,5000,mm,6,10
L1,62,mm,6,10
d,110,mm,7,10
D,160,mm,7,10
DN,100,,7,10
di,90.0,mm,7,10
l,5000,mm,7,10
L1,72,mm,7,10
d,140,mm,8,10
D,200,mm,8,10
DN,125,,8,10
di,114.6,mm,8,10
l,5000,mm,8,10
L1,84,mm,8,10
d,40,mm,57,11
D,90,mm,57,11
d1,32,mm,57,11
D1,75,mm,57,11
SDR,11,,57,11
DN,32,mm,57,11
PN,16,bar,57,11
L,131,mm,57,11
L1,40,mm,57,11
L2,36,mm,57,11
z,17,mm,57,11
d,50,mm,58,11
D,90,mm,58,11
d1,32,mm,58,11
D1,75,mm,58,11
SDR,11,,58,11
DN,40,mm,58,11
PN,16,bar,58,11
L,139,mm,58,11
L1,44,mm,58,11
L2,36,mm,58,11
z,21,mm,58,11
d,50,mm,59,11
D,90,mm,59,11
d1,40,mm,59,11
D1,90,mm,59,11
SDR,11,,59,11
DN,40,mm,59,11
PN,16,bar,59,11
L,137,mm,59,11
L1,44,mm,59,11
L2,40,mm,59,11
z,15,mm,59,11
d,63,mm,60,11
D,110,mm,60,11
d1,32,mm,60,11
D1,75,mm,60,11
SDR,11,,60,11
DN,50,mm,60,11
PN,16,bar,60,11
L,148,mm,60,11
L1,48,mm,60,11
L2,36,mm,60,11
z,26,mm,60,11
d,63,mm,61,11
D,110,mm,61,11
d1,40,mm,61,11
D1,90,mm,61,11
SDR,11,,61,11
DN,50,mm,61,11
PN,16,bar,61,11
L,147,mm,61,11
L1,48,mm,61,11
L2,40,mm,61,11
z,21,mm,61,11
d,63,mm,62,11
D,110,mm,62,11
d1,50,mm,62,11
D1,90,mm,62,11
SDR,11,,62,11
DN,50,mm,62,11
PN,16,bar,62,11
L,147,mm,62,11
L1,48,mm,62,11
L2,44,mm,62,11
z,17,mm,62,11
d,90,mm,63,11
D,140,mm,63,11
d1,63,mm,63,11
D1,110,mm,63,11
SDR,11,,63,11
DN,80,mm,63,11
PN,16,bar,63,11
L,187,mm,63,11
L1,62,mm,63,11
L2,48,mm,63,11
z,39,mm,63,11
d,110,mm,64,11
D,160,mm,64,11
d1,90,mm,64,11
D1,140,mm,64,11
SDR,11,,64,11
DN,100,mm,64,11
PN,16,bar,64,11
L,214,mm,64,11
L1,72,mm,64,11
L2,62,mm,64,11
z,42,mm,64,11
d,75,mm,65,11
D,125,mm,65,11
d1,63,mm,65,11
D1,110,mm,65,11
SDR,11,,65,11
DN,65,mm,65,11
PN,16,bar,65,11
L1,55,mm,65,11
L2,48,mm,65,11
z,170,mm,65,11
d,90,mm,66,11
D,140,mm,66,11
d1,63,mm,66,11
D1,110,mm,66,11
SDR,11,,66,11
DN,80,mm,66,11
PN,16,bar,66,11
L1,62,mm,66,11
L2,48,mm,66,11
z,190,mm,66,11
d,90,mm,67,11
D,140,mm,67,11
d1,75,mm,67,11
D1,125,mm,67,11
SDR,11,,67,11
DN,80,mm,67,11
PN,16,bar,67,11
L1,62,mm,67,11
L2,55,mm,67,11
z,190,mm,67,11
d,110,mm,68,11
D,160,mm,68,11
d1,63,mm,68,11
D1,110,mm,68,11
SDR,11,,68,11
DN,100,mm,68,11
PN,16,bar,68,11
L1,72,mm,68,11
L2,48,mm,68,11
z,205,mm,68,11
d,110,mm,69,11
D,160,mm,69,11
d1,75,mm,69,11
D1,125,mm,69,11
SDR,11,,69,11
DN,100,mm,69,11
PN,16,bar,69,11
L1,72,mm,69,11
L2,55,mm,69,11
z,205,mm,69,11
d,110,mm,70,11
D,160,mm,70,11
d1,90,mm,70,11
D1,140,mm,70,11
SDR,11,,70,11
DN,100,mm,70,11
PN,16,bar,70,11
L1,72,mm,70,11
L2,62,mm,70,11
z,205,mm,70,11
d,140,mm,71,11
D,200,mm,71,11
d1,63,mm,71,11
D1,110,mm,71,11
SDR,11,,71,11
DN,125,mm,71,11
PN,16,bar,71,11
L1,84,mm,71,11
L2,48,mm,71,11
z,225,mm,71,11
d,140,mm,72,11
D,200,mm,72,11
d1,75,mm,72,11
D1,125,mm,72,11
SDR,11,,72,11
DN,125,mm,72,11
PN,16,bar,72,11
L1,84,mm,72,11
L2,55,mm,72,11
z,237,mm,72,11
d,140,mm,73,11
D,200,mm,73,11
d1,90,mm,73,11
D1,140,mm,73,11
SDR,11,,73,11
DN,125,mm,73,11
PN,16,bar,73,11
L1,84,mm,73,11
L2,62,mm,73,11
z,238,mm,73,11
d,140,mm,74,11
D,200,mm,74,11
d1,110,mm,74,11
D1,160,mm,74,11
SDR,11,,74,11
DN,125,mm,74,11
PN,16,bar,74,11
L1,84,mm,74,11
L2,72,mm,74,11
z,233,mm,74,11
d,32,mm,164,12
Gewinde,R,,164,12
Zoll,½,inch,164,12
DN,25,mm,164,12
D,70,mm,164,12
L1,36,mm,164,12
z,130,mm,164,12
d,32,mm,165,12
Gewinde,R,,165,12
Zoll,¾,inch,165,12
DN,25,mm,165,12
D,70,mm,165,12
L1,36,mm,165,12
z,134,mm,165,12
d,32,mm,166,12
Gewinde,R,,166,12
Zoll,1,inch,166,12
DN,25,mm,166,12
D,70,mm,166,12
L1,36,mm,166,12
z,134,mm,166,12
d,40,mm,167,12
Gewinde,R,,167,12
Zoll,1 ¼,inch,167,12
DN,32,mm,167,12
D,78,mm,167,12
L1,40,mm,167,12
z,156,mm,167,12
d,50,mm,168,12
Gewinde,R,,168,12
Zoll,1 ½,inch,168,12
DN,40,mm,168,12
D,88,mm,168,12
L1,44,mm,168,12
z,168,mm,168,12
d,63,mm,169,12
Gewinde,R,,169,12
Zoll,2,inch,169,12
DN,50,mm,169,12
D,101,mm,169,12
L1,48,mm,169,12
z,179,mm,169,12
D,32,mm,124,13
DN,25,mm,124,13
SDR,11,,124,13
PN,16,bar,124,13
z,76,mm,124,13
D,40,mm,125,13
DN,32,mm,125,13
SDR,11,,125,13
PN,16,bar,125,13
z,80,mm,125,13
D,50,mm,126,13
DN,40,mm,126,13
SDR,11,,126,13
PN,16,bar,126,13
z,88,mm,126,13
D,63,mm,127,13
DN,50,mm,127,13
SDR,11,,127,13
PN,16,bar,127,13
z,96,mm,127,13
D,75,mm,128,13
DN,65,mm,128,13
SDR,11,,128,13
PN,16,bar,128,13
z,110,mm,128,13
D,90,mm,129,13
DN,80,mm,129,13
SDR,11,,129,13
PN,16,bar,129,13
z,124,mm,129,13
D,110,mm,130,13
DN,100,mm,130,13
SDR,11,,130,13
PN,16,bar,130,13
z,144,mm,130,13
D,140,mm,131,13
DN,125,mm,131,13
SDR,11,,131,13
PN,16,bar,131,13
z,168,mm,131,13
D,160,mm,132,13
DN,150,mm,132,13
SDR,17,,132,13
PN,10,bar,132,13
z,180,mm,132,13
D,225,mm,133,13
DN,200,mm,133,13
SDR,17,,133,13
PN,10,bar,133,13
z,220,mm,133,13
d1,32,mm,110,14
z,125 + d/2,mm,110,14
Q1,36,mm,110,14
D1,73,mm,110,14
d,d63 - d225,mm,110,14
d1,40,mm,111,14
z,131 + d/2,mm,111,14
Q1,40,mm,111,14
D1,86,mm,111,14
d,d75 - d225,mm,111,14
d1,50,mm,112,14
z,140 + d/2,mm,112,14
Q1,44,mm,112,14
D1,92,mm,112,14
d,d90 - d225,mm,112,14
Spannung,230,V,113,15
Gewicht,20.700,kg,113,15
Spannung,230,V,114,15
Gewicht,14.100,kg,114,15
Gewicht,7.000,kg,115,15
d,75,mm,41,16
d1,63,mm,41,16
D,125,mm,41,16
D1,110,mm,41,16
DN,65,mm,41,16
L,110,mm,41,16
L1,55,mm,41,16
L2,48,mm,41,16
z,36,mm,41,16
z1,200,mm,41,16
d,90,mm,42,16
d1,63,mm,42,16
D,140,mm,42,16
D1,110,mm,42,16
DN,80,mm,42,16
L,124,mm,42,16
L1,62,mm,42,16
L2,48,mm,42,16
z,42,mm,42,16
z1,227,mm,42,16
d,90,mm,43,16
d1,75,mm,43,16
D,140,mm,43,16
D1,125,mm,43,16
DN,80,mm,43,16
L,124,mm,43,16
L1,62,mm,43,16
L2,55,mm,43,16
z,42,mm,43,16
z1,227,mm,43,16
d,110,mm,44,16
d1,63,mm,44,16
D,160,mm,44,16
D1,110,mm,44,16
DN,100,mm,44,16
L,148,mm,44,16
L1,72,mm,44,16
L2,48,mm,44,16
z,57,mm,44,16
z1,245,mm,44,16
d,110,mm,45,16
d1,75,mm,45,16
D,160,mm,45,16
D1,125,mm,45,16
DN,100,mm,45,16
L,148,mm,45,16
L1,72,mm,45,16
L2,55,mm,45,16
z,57,mm,45,16
z1,245,mm,45,16
d,110,mm,46,16
d1,90,mm,46,16
D,160,mm,46,16
D1,140,mm,46,16
DN,100,mm,46,16
L,148,mm,46,16
L1,72,mm,46,16
L2,62,mm,46,16
z,57,mm,46,16
z1,245,mm,46,16
d,140,mm,47,16
d1,63,mm,47,16
D,200,mm,47,16
D1,110,mm,47,16
DN,125,mm,47,16
L,169,mm,47,16
L1,84,mm,47,16
L2,48,mm,47,16
z,66,mm,47,16
z1,221,mm,47,16
d,140,mm,48,16
d1,75,mm,48,16
D,200,mm,48,16
D1,125,mm,48,16
DN,125,mm,48,16
L,169,mm,48,16
L1,84,mm,48,16
L2,55,mm,48,16
z,66,mm,48,16
z1,231,mm,48,16
d,140,mm,49,16
d1,90,mm,49,16
D,200,mm,49,16
D1,140,mm,49,16
DN,125,mm,49,16
L,169,mm,49,16
L1,84,mm,49,16
L2,62,mm,49,16
z,66,mm,49,16
z1,234,mm,49,16
d,140,mm,50,16
d1,110,mm,50,16
D,200,mm,50,16
D1,160,mm,50,16
DN,125,mm,50,16
L,169,mm,50,16
L1,84,mm,50,16
L2,72,mm,50,16
z,66,mm,50,16
z1,243,mm,50,16
d1,16/20,mm,107,17
D,70,mm,107,17
PN,16,bar,107,17
z,84 + d/2,mm,107,17
P1,20,mm,107,17
D1,73,mm,107,17
d,d63 - d225,mm,107,17
d SDR,32,mm,198,18
DN,25,mm,198,18
D,108,mm,198,18
L,137,mm,198,18
L1,36,mm,198,18
L2,33,mm,198,18
z1,104,mm,198,18
z2,11,mm,198,18
d SDR,40,mm,199,18
DN,32,mm,199,18
D,116,mm,199,18
L,156,mm,199,18
L1,40,mm,199,18
L2,39,mm,199,18
z1,117,mm,199,18
z2,13,mm,199,18
d SDR,50,mm,200,18
DN,40,mm,200,18
D,126,mm,200,18
L,169,mm,200,18
L1,44,mm,200,18
L2,46,mm,200,18
z1,123,mm,200,18
z2,15,mm,200,18
d SDR,63,mm,201,18
DN,50,mm,201,18
D,139,mm,201,18
L,190,mm,201,18
L1,48,mm,201,18
L2,58,mm,201,18
z1,132,mm,201,18
z2,21,mm,201,18
d SDR,75,mm,202,18
DN,65,mm,202,18
D,151,mm,202,18
L,211,mm,202,18
L1,55,mm,202,18
L2,62,mm,202,18
z1,149,mm,202,18
z2,18,mm,202,18
d SDR,90,mm,203,18
DN,80,mm,203,18
D,166,mm,203,18
L,215,mm,203,18
L1,62,mm,203,18
L2,69,mm,203,18
z1,144,mm,203,18
z2,19,mm,203,18
d SDR,110,mm,204,18
DN,100,mm,204,18
D,186,mm,204,18
L,235,mm,204,18
L1,72,mm,204,18
L2,72,mm,204,18
z1,163,mm,204,18
z2,11,mm,204,18
d,63,mm,99,19
D,110,mm,99,19
DN,50,mm,99,19
L,97,mm,99,19
L1,48,mm,99,19
z,29,mm,99,19
H,212,mm,99,19
d,75,mm,100,19
D,125,mm,100,19
DN,65,mm,100,19
L,110,mm,100,19
L1,55,mm,100,19
z,36,mm,100,19
H,193,mm,100,19
d,90,mm,101,19
D,140,mm,101,19
DN,80,mm,101,19
L,124,mm,101,19
L1,62,mm,101,19
z,43,mm,101,19
H,210,mm,101,19
d,110,mm,102,19
D,160,mm,102,19
DN,100,mm,102,19
L,148,mm,102,19
L1,72,mm,102,19
z,57,mm,102,19
H,223,mm,102,19
d,140,mm,103,19
D,200,mm,103,19
DN,125,mm,103,19
L1,84,mm,103,19
z,447,mm,103,19
H,316,mm,103,19
d,32,mm,33,20
D SDR,75,mm,33,20
DN,11,mm,33,20
PN,25,bar,33,20
L,73,mm,33,20
L1,36,mm,33,20
z,18,mm,33,20
z1,"98,0",mm,33,20
Gewicht,"0,154",kg,33,20
d,40,mm,34,20
D SDR,90,mm,34,20
DN,11,mm,34,20
PN,32,bar,34,20
L,81,mm,34,20
L1,40,mm,34,20
z,22,mm,34,20
z1,"112,0",mm,34,20
Gewicht,"0,230",kg,34,20
d,50,mm,35,20
D SDR,90,mm,35,20
DN,11,mm,35,20
PN,40,bar,35,20
L,88,mm,35,20
L1,44,mm,35,20
z,25,mm,35,20
z1,"125,0",mm,35,20
Gewicht,"0,306",kg,35,20
d,63,mm,36,20
D SDR,110,mm,36,20
DN,11,mm,36,20
PN,50,bar,36,20
L,97,mm,36,20
L1,48,mm,36,20
z,30,mm,36,20
z1,"147,0",mm,36,20
Gewicht,"0,492",kg,36,20
d,75,mm,37,20
D SDR,125,mm,37,20
DN,11,mm,37,20
PN,65,bar,37,20
L,110,mm,37,20
L1,55,mm,37,20
z,36,mm,37,20
z1,"140,0",mm,37,20
Gewicht,"0,673",kg,37,20
d,90,mm,38,20
D SDR,140,mm,38,20
DN,11,mm,38,20
PN,80,bar,38,20
L,124,mm,38,20
L1,62,mm,38,20
z,43,mm,38,20
z1,"161,0",mm,38,20
Gewicht,"1,022",kg,38,20
d,110,mm,39,20
D SDR,160,mm,39,20
DN,11,mm,39,20
PN,100,bar,39,20
L,148,mm,39,20
L1,72,mm,39,20
z,57,mm,39,20
z1,"184,0",mm,39,20
Gewicht,"1,751",kg,39,20
d,140,mm,40,20
D SDR,200,mm,40,20
DN,11,mm,40,20
PN,125,bar,40,20
L,169,mm,40,20
L1,84,mm,40,20
z,66,mm,40,20
z1,"257,3",mm,40,20
Gewicht,"4,390",kg,40,20
d,40,mm,51,22
D,90,mm,51,22
d1,32,mm,51,22
SDR,11,,51,22
DN,32,mm,51,22
PN,16,bar,51,22
L,81,mm,51,22
L1,40,mm,51,22
L2,36,mm,51,22
z,22,mm,51,22
z1,108,mm,51,22
d,50,mm,52,22
D,90,mm,52,22
d1,32,mm,52,22
SDR,11,,52,22
DN,40,mm,52,22
PN,16,bar,52,22
L,88,mm,52,22
L1,44,mm,52,22
L2,36,mm,52,22
z,25,mm,52,22
z1,117,mm,52,22
d,63,mm,53,22
D,110,mm,53,22
d1,32,mm,53,22
SDR,11,,53,22
DN,50,mm,53,22
PN,16,bar,53,22
L,97,mm,53,22
L1,48,mm,53,22
L2,36,mm,53,22
z,30,mm,53,22
z1,135,mm,53,22
d,75,mm,54,22
D,125,mm,54,22
d1,32,mm,54,22
SDR,11,,54,22
DN,65,mm,54,22
PN,16,bar,54,22
L,110,mm,54,22
L1,55,mm,54,22
L2,36,mm,54,22
z,36,mm,54,22
z1,121,mm,54,22
d,90,mm,55,22
D,140,mm,55,22
d1,32,mm,55,22
SDR,11,,55,22
DN,80,mm,55,22
PN,16,bar,55,22
L,124,mm,55,22
L1,62,mm,55,22
L2,36,mm,55,22
z,43,mm,55,22
z1,135,mm,55,22
d,110,mm,56,22
D,160,mm,56,22
d1,32,mm,56,22
SDR,11,,56,22
DN,100,mm,56,22
PN,16,bar,56,22
L,148,mm,56,22
L1,72,mm,56,22
L2,36,mm,56,22
z,57,mm,56,22
z1,148,mm,56,22
d,32,mm,145,23
D,70,mm,145,23
L1,36,mm,145,23
z,130,mm,145,23
d,32,mm,146,23
D,70,mm,146,23
L1,36,mm,146,23
z,134,mm,146,23
d,32,mm,147,23
D,70,mm,147,23
L1,36,mm,147,23
z,134,mm,147,23
d,40,mm,148,23
D,78,mm,148,23
L1,40,mm,148,23
z,156,mm,148,23
d,50,mm,149,23
D,88,mm,149,23
L1,44,mm,149,23
z,168,mm,149,23
d,63,mm,150,23
D,101,mm,150,23
L1,48,mm,150,23
z,179,mm,150,23
d1,25/32,mm,108,24
D,70,mm,108,24
PN,16,bar,108,24
P1,28,mm,108,24
z,92 + 4/2,mm,108,24
d,d63 - d225,mm,108,24
d,32,mm,84,25
D,75,mm,84,25
